employee_id,first_name,last_name,start_date,exit_date,title,supervisor,ad_email,business_unit,employee_status,employee_type,pay_zone,employee_classification_type,termination_type,termination_description,department_type,division,date_of_birth,state,job_function_description,gender_code,location_code,race_desc,marital_desc,performance_score,current_employee_rating,active_flag,non_active_flag,termination_flag,voluntary_termination_flag,involuntary_termination_flag,employee_status_group,tenure_days,tenure_years,application_date,education_level,years_of_experience,desired_salary,recruitment_job_title,recruitment_status,survey_date,engagement_score,satisfaction_score,work_life_balance_score,engagement_segment,training_date,training_program_name,training_type,training_outcome,training_location,trainer,training_duration_days,training_cost,training_timing,early_attrition_6m_flag,early_attrition_12m_flag
3427,Uriah,Bridges,2019-09-20,,Production Technician I,Peter Oneill,uriah.bridges@bilearner.com,CCDR,Active,Contract,Zone C,Temporary,Unk,,Production,Finance & Accounting,1969-10-07,MA,Accounting,Female,34904,White,Widowed,Fully Meets,4,1,0,0,0,0,Active,2482,6.8,2023-06-04,PhD,17,65413.92,Seismic interpreter,Offered,2023-01-14,1,2,3,Low Engagement,2023-07-15,Leadership Development,Internal,Failed,South Marisa,Taylor Rodriguez,2,606.11,After Start Date,0,0
3428,Paula,Small,2023-02-11,,Production Technician I,Renee Mccormick,paula.small@bilearner.com,EW,Active,Contract,Zone A,Part-Time,Unk,,Production,Aerial,1965-08-30,MA,Labor,Male,6593,Hispanic,Widowed,Fully Meets,3,1,0,0,0,0,Active,1242,3.4,2023-07-03,High School,1,58149.11,"Horticulturist, amenity",In Review,2022-09-09,2,1,5,Low Engagement,2022-09-12,Customer Service,External,Incomplete,Tammieville,Kelly Patterson DDS,4,673.02,Before Start Date,0,0
3429,Edward,Buck,2018-12-10,,Area Sales Manager,Crystal Walker,edward.buck@bilearner.com,PL,Active,Full-Time,Zone B,Part-Time,Unk,,Sales,General - Sga,1991-10-06,MA,Assistant,Male,2330,Hispanic,Widowed,Fully Meets,4,1,0,0,0,0,Active,2766,7.57,2023-07-05,PhD,10,88632.71,Senior tax professional/tax inspector,Rejected,2023-05-27,1,2,1,Low Engagement,2022-08-13,Leadership Development,External,Failed,East Roberthaven,Taylor Thomas,2,413.28,After Start Date,0,0
3430,Michael,Riordan,2021-06-21,,Area Sales Manager,Rebekah Wright,michael.riordan@bilearner.com,CCDR,Active,Contract,Zone A,Full-Time,Unk,,Sales,Finance & Accounting,1998-04-04,ND,Clerk,Male,58782,Other,Single,Fully Meets,2,1,0,0,0,0,Active,1842,5.04,2023-07-19,Master's Degree,5,46816.47,Data scientist,Interviewing,2023-06-16,5,5,4,High Engagement,2022-12-15,Project Management,External,Completed,Garzatown,Holly Elliott,3,663.78,After Start Date,0,0
3431,Jasmine,Onque,2019-06-29,,Area Sales Manager,Jason Kim,jasmine.onque@bilearner.com,TNS,Active,Contract,Zone A,Temporary,Unk,,Sales,General - Con,1969-08-29,FL,Laborer,Female,33174,Other,Married,Fully Meets,3,1,0,0,0,0,Active,2565,7.02,2023-06-22,Bachelor's Degree,15,98876.61,"Engineer, land",Applied,2022-11-25,2,5,3,Low Engagement,2023-07-13,Technical Skills,External,Failed,Lake Meganville,Donald Martinez,5,399.03,After Start Date,0,0
3432,Maruk,Fraval,2020-01-17,,Area Sales Manager,Sheri Campos,maruk.fraval@bilearner.com,BPC,Active,Contract,Zone B,Full-Time,Unk,,Sales,Field Operations,1949-04-03,CT,Driver,Male,6050,Black,Married,Fully Meets,3,1,0,0,0,0,Active,2363,6.47,2023-06-03,High School,4,33499.53,Chief Strategy Officer,Interviewing,2022-12-12,2,3,5,Low Engagement,2023-04-18,Project Management,Internal,Passed,Kingchester,Holly Sloan,2,820.33,After Start Date,0,0
3433,Latia,Costa,2022-04-06,2023-07-03,Area Sales Manager,Jacob Braun,latia.costa@bilearner.com,WBL,Active,Full-Time,Zone B,Temporary,Involuntary,Me see picture nature degree benefit.,Sales,General - Eng,1942-07-01,CA,Technician,Female,90007,Hispanic,Divorced,Exceeds,4,1,0,0,0,0,Active,453,1.24,2023-07-05,Master's Degree,2,85943.23,"Journalist, newspaper",Rejected,2023-03-25,1,5,2,Low Engagement,2022-08-06,Customer Service,External,Passed,Lancehaven,David Stewart,5,295.08,After Start Date,0,0
3434,Sharlene,Terry,2020-11-06,2023-01-29,Area Sales Manager,Tracy Marquez,sharlene.terry@bilearner.com,CCDR,Active,Contract,Zone C,Full-Time,Involuntary,Blue community type skill story.,Sales,Engineers,1957-03-07,OR,Engineer,Female,97756,White,Divorced,Fully Meets,2,1,0,0,0,0,Active,814,2.23,2023-05-21,High School,16,92047.07,Lawyer,Offered,2023-04-21,1,4,2,Low Engagement,2022-10-07,Leadership Development,Internal,Passed,Jeremyshire,Stephanie Garza,3,790.15,After Start Date,0,0
3435,Jac,McKinzie,2018-08-18,,Area Sales Manager,Sharon Becker,jac.mckinzie@bilearner.com,NEL,Active,Contract,Zone B,Part-Time,Unk,,Sales,Executive,1974-05-15,TX,Executive Assistant,Male,78789,Black,Widowed,Exceeds,3,1,0,0,0,0,Active,2880,7.89,2023-07-01,PhD,17,55770.38,Chief of Staff,Interviewing,2022-12-09,4,3,3,High Engagement,2023-07-19,Customer Service,Internal,Passed,West Randall,John Brown,3,798.4,After Start Date,0,0
3436,Joseph,Martins,2022-01-21,2023-06-29,Area Sales Manager,George Jenkins,joseph.martins@bilearner.com,BPC,Active,Part-Time,Zone B,Temporary,Resignation,Summer personal bag.,Sales,Engineers,1949-11-11,TX,Engineer,Male,78207,Asian,Widowed,Fully Meets,5,1,0,0,0,0,Active,524,1.43,2023-05-16,Bachelor's Degree,9,74212.39,"Administrator, education",In Review,2023-07-30,5,5,2,High Engagement,2023-04-09,Leadership Development,Internal,Failed,Nicolebury,Megan Wilson,5,192.61,After Start Date,0,0
